0
"(128, 3924, 8.774266539908085)"
"(129, 2245, 155.66212458231882)"
"(130, 928, 50.334137706469505)"
"(131, 3394, 58.051702252686745)"
"(132, 1273, 12.44891691284222)"
"(133, 2276, 9.572967926029417)"
"(134, 277, 30.608777200867095)"
"(135, 1048, 3.4606709404323066)"
"(136, 1802, 2.3432690590448857)"
"(137, 1451, 10.794594970843347)"
"(138, 1045, 0.6504957461339552)"
"(139, 2782, 3.885496392860862)"
"(140, 1355, 12.262235933144048)"
"(141, 380, 86.24808801583069)"
"(142, 3059, 47.34852247336607)"
"(143, 3067, 12.819592098182731)"
"(144, 2481, 27.590550792606177)"
"(145, 3764, 28.09454258644253)"
"(146, 2843, 29.777284133368255)"
"(147, 964, 14.876377222114366)"
"(148, 4039, 82.97857916569751)"
"(149, 183, 19.079701418237185)"
"(150, 4088, 84.46832634698784)"
"(151, 2523, 12.395317185268818)"
"(152, 1269, 3.4543309121860273)"
"(153, 230, 9.198779931844271)"
"(154, 1240, 7.956715708118848)"
"(155, 1217, 4.69136415116975)"
"(156, 4232, 124.42463606365688)"
"(157, 188, 2.556960648345711)"
"(158, 194, 26.315236932829798)"
"(159, 625, 23.54535660131507)"
"(160, 1357, 3.7650801000030008)"
"(161, 1064, 141.8460467541184)"
"(162, 481, 19.996278069247435)"
"(163, 3065, 7.934474112881904)"
"(164, 3412, 34.884975500351594)"
"(165, 4062, 298.09063390335785)"
"(166, 1062, 5.7584303765806375)"
"(167, 1651, 5.408161084387428)"
"(168, 2259, 12.71943601242942)"
"(169, 2629, 55.472989771323185)"
"(170, 787, 23.450691097087628)"
"(171, 1554, 18.14863375240424)"
"(172, 1614, 69.18600220309499)"
"(173, 2073, 83.96140462464291)"
"(174, 1496, 6.463425445153083)"
"(175, 1007, 68.49198853048829)"
"(176, 1436, 6.9760312922317045)"
"(177, 2712, 393.3785134650018)"
"(178, 3186, 24.24646970340765)"
"(179, 635, 5.80808596850617)"
"(180, 2970, 70.41297220336541)"
"(181, 2061, 47.56970548325014)"
"(182, 2145, 31.443661975104398)"
"(183, 2147, 6.528294772358301)"
"(184, 2836, 109.04774090507684)"
"(185, 2787, 13.964435953189245)"
"(186, 1345, 17.70765231160761)"
"(187, 1345, 3.054238611619178)"
"(188, 1345, 23.441688282723828)"
"(189, 143, 22.300027778707143)"
"(190, 716, 4.85577327075233)"
"(191, 1941, 134.20449462990217)"
"(192, 61, 6.084872881087374)"
"(193, 742, 21.47522952289268)"
"(194, 629, 13.076631774681864)"
"(195, 4251, 149.25537937516765)"
"(196, 4251, 140.455982380762)"
"(197, 972, 12.47739194698624)"
"(198, 1182, 9.812172110319125)"
"(199, 1654, 10.80822989160119)"
"(200, 855, 2.0855377614290096)"
"(201, 1643, 74.04891104365332)"
"(202, 2085, 7.959836449203853)"
"(203, 1123, 27.623084929004495)"
"(204, 1187, 17.55731620016812)"
"(205, 1425, 3.3295901869652016)"
"(206, 3790, 14.249948676827417)"
"(207, 1425, 7.623920920308023)"
"(208, 597, 13.275161359009847)"
"(209, 1035, 4.526152964168995)"
"(210, 2481, 14.781791093117286)"
"(211, 2488, 52.91951105063834)"
"(212, 3066, 7.087993156398682)"
"(213, 634, 22.32133598347432)"
"(214, 2068, 55.2225506395973)"
"(215, 1132, 34.01043261035149)"
"(216, 2139, 84.21215366600417)"
"(217, 3479, 6.58534069106289)"
"(218, 57, 33.098243908480406)"
"(219, 959, 49.97715863421997)"
"(220, 3168, 97.90271397063538)"
"(221, 1391, 312.90328909636384)"
"(222, 2485, 1.6692994135529593)"
"(223, 2195, 107.51094468569924)"
"(224, 728, 6.595427840533915)"
"(225, 991, 26.455710984118696)"
"(226, 1029, 15.156122145476939)"
