ID;ISTAT_PROVINCIA;PROVINCIA;ISTAT;COMUNE;DENOMINAZIONE_DEL_MERCATO;INDIRIZZI;PERIODICITA_DEL_MERCATO;GIORNO_DI_MERCATO;FREQUENZA_SETTIMANALE;DALLE_ORE_ESTIVO;ALLE_ORE_ESTIVO;DAL;AL;ANNO_ISTITUZIONE_MERCATO;ISTITUZIONE_ALTRO_RIFERIMENTO_TEMPORALE;N_POST_ALIM;N_POST_NON_ALIM;N_POST_TOT;SUP_POST_NON_ALIM;SUP_POST_ALIM;SUP_POST_TOT;POSTI_DEST_PRODOTTI_TIPICI_LOMBARDI;POSTI_DEST_PRODOTTI_AGRICOLI;POSTI_DEST_PRODOTTI_FLOROVIVAISTICI
100528;15;MI;15157;NOVATE MILANESE;VIA GRAMSCI;;;;;;;;;;;;;;;;;;;
100331;15;MI;15002;ABBIATEGRASSO;PIAZZA L. SAMEK (SABATO);PIAZZA L. SAMEK;SETTIMANALE;SABATO;;08:00;13:00;01-gen;31-dic;;primi '900;14;23;37;784;474;1258;0;1;2
712338;15;MI;15184;ROBECCO SUL NAVIGLIO;CASTELLAZZO DE' BARZI;;;;;;;;;;;;;;;;;;;
100508;15;MI;15146;MILANO;VIA STROZZI;VIA PIERO STROZZI;SETTIMANALE;MARTEDÌ;;07:30;14:00;01-gen;31-dic;1999;;39;49;88;742;744;1486;0;1;0
100573;15;MI;15191;SAN COLOMBANO AL LAMBRO;VIA MAZZINI;;;;;;;;;;;;;;;;;;;
881;15;MI;15036;BUCCINASCO;VIA LOMELLINA;VIALE LOMELLINA, 33;SETTIMANALE;MARTEDÌ;;08:00;13:00;;;;;19;19;38;575;609;1184;1;1;1
100478;15;MI;15146;MILANO;VIA GARIGLIANO (SABATO);VIA GARIGLIANO;SETTIMANALE;SABATO;;07:30;18:00;01-gen;31-dic;2002;;59;135;194;1701.08;611.82;2312.9;0;0;0
529807;15;MI;15059;CASSANO D'ADDA;VIA CASSANO;;;;;;;;;;;;;;;;;;;
529452;15;MI;15194;SAN GIORGIO SU LEGNANO;P.ZA DELLA COSTITUZIONE;;;;;;;;;;;;;;;;;;;
93681;15;MI;15019;BERNATE TICINO;MERCATO SETTIMANALE;;;;;;;;;;;;;;;;;;;
100403;15;MI;15105;GARBAGNATE MILANESE;AREA MERCATO - VIA COMO;VIA COMO;SETTIMANALE;VENERDÌ;;07:30;13:00;01-gen;31-dic;;anni 50;37;113;150;3904.75;1309;5213.75;0;3;0
100483;15;MI;15146;MILANO;VIA MOMPIANI;VIA GIACINTO MOMPIANI;SETTIMANALE;MARTEDÌ;;07:30;14:00;01-gen;31-dic;2000;;68;151;219;2467.5;1198;3665.5;0;1;0
100523;15;MI;15146;MILANO;VIALE PAPINIANO (SABATO);VIALE PAPINIANO;SETTIMANALE;SABATO;;07:30;18:00;01-gen;31-dic;2002;;80;168;248;2740;1077;3817;0;1;0
41411;15;MI;15078;CISLIANO;PIAZZA DEL MERCATO;;;;;;;;;;;;;;;;;;;
100490;15;MI;15146;MILANO;VIA PAGANO;VIA MARIO PAGANO;SETTIMANALE;VENERDÌ;;07:30;14:00;01-gen;31-dic;2000;;26;45;71;490;405.5;895.5;0;0;0
100512;15;MI;15146;MILANO;VIA VAL DI LEDRO;VIA VAL DI LEDRO;SETTIMANALE;MERCOLEDÌ;;07:30;14:00;01-gen;31-dic;1998;;22;39;61;523.2;322.3;845.5;0;0;0
520;15;MI;15041;BUSTO GAROLFO;MERCATO FRAZ. OLCELLA;VIA PO;SETTIMANALE;LUNEDÌ;;08:00;14:00;01-gen;31-dic;2016;;4;3;7;108;144;252;1;0;0
100488;15;MI;15146;MILANO;VIA OSOPPO (GIOVEDI);VIA OSOPPO;SETTIMANALE;GIOVEDÌ;;07:30;14:00;01-gen;31-dic;2001;;68;126;194;1327;1057;2384;0;1;0
100419;15;MI;15130;MAGENTA;VIA MENTANA;VIA MENTANA, SC;SETTIMANALE;GIOVEDÌ;;08:00;13:00;01-gen;31-dic;1974;;4;0;4;0;109;109;0;0;0
100464;15;MI;15146;MILANO;VIA DE CAPITANI;VIA ROSA MASSARA DE CAPITANI;SETTIMANALE;MERCOLEDÌ;;07:30;14:00;01-gen;31-dic;2000;;44;53;97;798;634;1432;0;1;0
100383;15;MI;15077;CINISELLO BALSAMO;VIA PETRARCA;VIALE FRANCESCO PETRARCA;SETTIMANALE;MERCOLEDÌ;;08:00;13:00;;;1975;;29;38;67;1254.24;1001;2255.24;0;0;0
100355;15;MI;15038;BUSCATE;VIA S.PIETRO;;;;;;;;;;;;;;;;;;;
100621;15;MI;15230;VAPRIO D'ADDA;PIAZZA DEL MERCATO;VIA CADUTI;SETTIMANALE;GIOVEDÌ;;07:30;12:30;;;;anni 20 del '900;20;39;59;1296;681;1977;0;1;0
648951;15;MI;15195;SAN GIULIANO MILANESE;VIA DELLA REPUBBLICA;VIA DELLA REPUBBLICA;SETTIMANALE;GIOVEDÌ;;07:30;13:30;;;2008;;10;10;20;375;350;725;0;2;0
100516;15;MI;15146;MILANO;VIA VESPRI SICILIANI;VIA VESPRI SICILIANI;SETTIMANALE;MERCOLEDÌ;;07:30;14:00;01-gen;31-dic;1999;;71;77;148;1918.8;1671.4;3590.2;0;1;0
71801;15;MI;15222;TRIBIANO;VIA F.LLI CERVI;;;;;;;;;;;;;;;;;;;
100341;15;MI;15022;BESATE;VIA ADA NEGRI;;;;;;;;;;;;;;;;;;;
100521;15;MI;15146;MILANO;VIALE MONZA 325;VIALE MONZA;SETTIMANALE;MERCOLEDÌ;;07:30;14:00;01-gen;31-dic;2000;;33;28;61;504;546.3;1050.3;0;1;0
622327;15;MI;15146;MILANO;VIA MARIO PAGANO (DOMENICA);VIA MARIO PAGANO;SETTIMANALE;DOMENICA;;07:30;16:00;01-gen;31-dic;2014;;15;64;79;1005;270;1275;0;0;0
100469;15;MI;15146;MILANO;VIA DI RUDINI';VIA ANTONIO DI RUDINI';SETTIMANALE;GIOVEDÌ;;07:30;14:00;01-gen;31-dic;1997;;26;33;59;507;530.75;1037.75;0;1;0
100454;15;MI;15146;MILANO;VIA CALVI;VIA PIETRO CALVI;SETTIMANALE;GIOVEDÌ;;07:30;14:00;01-gen;31-dic;2000;;82;95;177;1765.7;1711.5;3477.2;0;1;0
100396;15;MI;15093;CORSICO;VIA DI VITTORIO;VIA GIUSEPPE DI VITTORIO;SETTIMANALE;SABATO;;07:30;13:30;;;;1970;24;37;61;1417.5;915;2332.5;0;1;1
100504;15;MI;15146;MILANO;VIA SAN MARCO (LUNEDI);VIA SAN MARCO;SETTIMANALE;LUNEDÌ;;07:30;14:00;01-gen;31-dic;1998;;24;24;48;297;329;626;0;1;0
100547;15;MI;15173;PIEVE EMANUELE;PIEVE CENTRO;;;;;;;;;;;;;;;;;;;
100558;15;MI;15181;RESCALDINA;VIA S. PELLICO;;;;;;;;;;;;;;;;;;;
100439;15;MI;15146;MILANO;VIA ARDISSONE;VIA FRANCESCO ARDISSONE;SETTIMANALE;SABATO;;07:30;14:00;01-gen;31-dic;2000;;22;17;39;423.5;523.25;946.75;0;0;0
100533;15;MI;15167;PANTIGLIATE;VIALE DI VITTORIO;;;;;;;;;;;;;;;;;;;
100329;15;MI;15002;ABBIATEGRASSO;PIAZZA L. SAMEK (MARTEDI);PIAZZA E.SAMEK LODOVICI;;;;;;;;;;;;;;;;;;
100498;15;MI;15146;MILANO;VIA ROGOREDO;VIA ROGOREDO;SETTIMANALE;SABATO;;07:30;14:00;01-gen;31-dic;2000;;13;17;30;260.5;214.5;475;0;0;0
100449;15;MI;15146;MILANO;PIAZZA BONOLA (MARTEDI);PIAZZA FEDERICO BONOLA;SETTIMANALE;MARTEDÌ;;07:30;14:00;01-gen;31-dic;1999;;66;59;125;1290.5;1311.5;2602;0;1;0
100465;15;MI;15146;MILANO;VIA DE PREDIS (GIOVEDI);VIA GIOVANNI AMBROGIO DE PREDIS;SETTIMANALE;GIOVEDÌ;;07:30;14:00;01-gen;31-dic;1998;;50;145;195;2050.2;857.05;2907.25;0;1;0
100566;15;MI;15184;ROBECCO SUL NAVIGLIO;PIAZZA MADRE TERESA DI CALCUTTA;;;;;;;;;;;;;;;;;;;
523;15;MI;15093;CORSICO;VIA MONTELLO GRUPPO B;VIA MONTELLO;QUINDICINALE;SABATO;2^ e 4^;07:30;13:30;;;;1985;16;40;56;1160.5;525.8;1686.3;0;1;1
89300;15;MI;15202;SAN ZENONE AL LAMBRO;MERCATO;;;;;;;;;;;;;;;;;;;
100455;15;MI;15146;MILANO;VIA CAMBINI;VIA LEONARDO CAMBINI;SETTIMANALE;LUNEDÌ;;07:30;14:00;01-gen;31-dic;1999;;52;59;111;934.5;785.5;1720;0;0;0
100333;15;MI;15007;ARCONATE;VIA PELLICO;;;;;;;;;;;;;;;;;;;
100477;15;MI;15146;MILANO;VIA GARIGLIANO (MARTEDI);VIA GARIGLIANO;SETTIMANALE;MARTEDÌ;;07:30;14:00;01-gen;31-dic;2002;;51;113;164;1577.72;722.5;2300.22;0;0;0
100363;15;MI;15058;CASOREZZO;PIAZZA  I  MAGGIO;;;;;;;;;;;;;;;;;;;
100443;15;MI;15146;MILANO;VIA ASMARA;VIA ASMARA;SETTIMANALE;SABATO;;07:30;14:00;01-gen;31-dic;2002;;19;20;39;233.5;41.5;275;0;0;0
100409;15;MI;15114;INZAGO;VIA DON STURZO;;;;;;;;;;;;;;;;;;;
100511;15;MI;15146;MILANO;VIA TRECHI;VIA SIGISMONDO TRECHI;SETTIMANALE;LUNEDÌ;;07:30;14:00;01-gen;31-dic;1998;;34;45;79;687;598.5;1285.5;0;1;0
100557;15;MI;15181;RESCALDINA;VIA DE AMICIS;;;;;;;;;;;;;;;;;;;
100430;15;MI;15144;MESERO;VIA MAGENTA;;;;;;;;;;;;;;;;;;;
100552;15;MI;15177;POZZO D'ADDA;BETTOLA;;;;;;;;;;;;;;;;;;;
100484;15;MI;15146;MILANO;VIA MORETTO DA BRESCIA;VIA MORETTO DA BRESCIA;SETTIMANALE;LUNEDÌ;;07:30;14:00;01-gen;31-dic;2002;;75;147;222;588;300;888;0;1;0
100423;15;MI;15136;MASATE;VIA ROMA;VIA ROMA;SETTIMANALE;VENERDÌ;;14:30;18:00;;;;presumibilmente 1983;3;4;7;128;115;243;0;1;0
100522;15;MI;15146;MILANO;VIALE PAPINIANO (MARTEDI);VIALE PAPINIANO;SETTIMANALE;MARTEDÌ;;07:30;14:00;01-gen;31-dic;1997;;65;158;223;2566;1071;3637;0;2;0
100389;15;MI;15085;CORBETTA;MERCATO SETTIMANALE DI P.ZZA I MAGGIO;PIAZZA I MAGGIO;SETTIMANALE;SABATO;;07:00;13:00;;;1921;;14;28;42;1136.5;484;1620.5;0;1;0
100351;15;MI;15032;BRESSO;MERCATO SUD;VIA EUGENIO VILLORESI, *;SETTIMANALE;MERCOLEDÌ;;07:30;13:30;01-gen;31-dic;1961;;12;20;32;590;392;982;0;0;0
100472;15;MI;15146;MILANO;VIA FALCK;VIA ENRICO FALCK;SETTIMANALE;SABATO;;07:30;14:00;01-gen;31-dic;1999;;41;48;89;1589;1188;2777;0;1;0
100489;15;MI;15146;MILANO;VIA OSOPPO (SABATO);VIA OSOPPO;SETTIMANALE;SABATO;;07:30;17:00;01-gen;31-dic;2001;;110;1;111;20;2407.5;2427.5;0;3;0
100346;15;MI;15027;BOLLATE;MERCATO DEL MARTEDÌ;PIAZZA DELLA RESISTENZA;SETTIMANALE;MARTEDÌ;;08:00;13:00;;;;primi anni '60;61;179;240;5376.5;2033;7409.5;0;2;0
